mode,stiffness_scale,damping_scale,trial_count,success_rate,peak_contact_force_mean_n,peak_contact_force_std_n,insertion_time_mean_s,settling_time_mean_s,overshoot_mean_m,oscillation_mean_m,final_center_error_mean_m
stiff,1.0,0.7,4.0,0.0,57.00745788300114,0.00903171009806126,nan,nan,0.0012890105382519,0.00017948956577944938,0.002240985160658642
stiff,1.0,1.0,4.0,0.0,56.96319305036369,0.008474221627337018,nan,nan,0.001131079987522012,0.00017616737553558562,0.0022409341977435923
stiff,1.0,1.4,4.0,0.0,56.90428814450848,0.008172482754155354,nan,nan,0.000954466699776034,0.00017343236950475175,0.0022408618936655255
stiff,1.0,1.8,4.0,0.0,56.84548515457756,0.008019129607245419,nan,nan,0.0008007855436789329,0.00017176746248884862,0.002240792169454013
impedance,1.0,0.7,4.0,1.0,36.5338567459232,0.0015241358760017067,0.7750000000000006,0.3790000000000003,0.0005914061689770512,0.00019469639943359076,0.0015191819939281486
impedance,1.0,1.0,4.0,1.0,36.530967239878095,0.0013154555537213005,0.7820000000000006,0.3962500000000003,9.737781799040165e-05,0.00018659777646404843,0.0015189756180460797
impedance,1.0,1.4,4.0,1.0,36.5281212294617,0.0019427110142799324,0.7910000000000006,0.43375000000000036,1.0624342850246876e-05,0.00017952361104117912,0.0015188394200188514
impedance,1.0,1.8,4.0,1.0,36.5260350790529,0.0025345970268146494,0.7990000000000006,0.46800000000000036,9.353579807466175e-06,0.00017701796386527307,0.0015187781387492694
