mode,stiffness_scale,damping_scale,trial_count,success_rate,peak_contact_force_mean_n,peak_contact_force_std_n,insertion_time_mean_s,settling_time_mean_s,overshoot_mean_m,oscillation_mean_m,final_center_error_mean_m
stiff,0.7,1.0,4.0,0.0,54.02283158461998,0.003902167390260389,nan,nan,0.0012706128202761146,0.00018658913782280853,0.0020818314238397655
stiff,1.0,1.0,4.0,0.0,56.96319305036369,0.008474221627337018,nan,nan,0.001131079987522012,0.00017616737553558562,0.0022409341977435923
stiff,1.3,1.0,4.0,0.0,58.84660170860928,0.007765917072786179,nan,nan,0.0010271292603551564,0.00017002401446142176,0.002375288369128698
stiff,1.6,1.0,4.0,0.0,60.22518582627873,0.00770791653983168,nan,nan,0.0009383656022238146,0.00016707555701003172,0.0024904962409906875
impedance,0.7,1.0,4.0,0.0,31.10493857370506,0.002139313855471509,nan,0.4120000000000003,0.00010066196834843675,0.00018536738636161835,0.001514339116506955
impedance,1.0,1.0,4.0,1.0,36.530967239878095,0.0013154555537213005,0.7820000000000006,0.3962500000000003,9.737781799040165e-05,0.00018659777646404843,0.0015189756180460797
impedance,1.3,1.0,4.0,1.0,40.31902749426512,0.0007849122358766871,0.7380000000000005,0.38875000000000026,9.30608918814076e-05,0.00018595841043190172,0.001523431960372017
impedance,1.6,1.0,4.0,1.0,43.11358680147232,0.0006200509965494536,0.7100000000000005,0.3830000000000003,8.803338786805392e-05,0.0001855339784781834,0.001527788980122835
