mode,noise_std_n,trial_count,success_rate,peak_contact_force_mean_n,peak_contact_force_std_n,insertion_time_mean_s,settling_time_mean_s,overshoot_mean_m,oscillation_mean_m,final_center_error_mean_m
stiff,0.0,4.0,0.0,56.9590042326144,0.0,nan,nan,0.0011310793635562982,0.0001759304528141408,0.0022404692082111446
stiff,0.1,4.0,0.0,56.96319305036369,0.008474221627337018,nan,nan,0.001131079987522012,0.00017616737553558562,0.0022409341977435923
stiff,0.2,4.0,0.0,56.96758127061054,0.014342605030437942,nan,nan,0.001131586861971864,0.00017645059449868146,0.0022414025375125705
impedance,0.0,4.0,1.0,36.504386668749795,0.0,0.7820000000000006,0.3960000000000003,9.246774632553387e-05,0.00018669037555315635,0.0015189116832176341
impedance,0.1,4.0,1.0,36.530967239878095,0.0013154555537213005,0.7820000000000006,0.3962500000000003,9.737781799040165e-05,0.00018659777646404843,0.0015189756180460797
impedance,0.2,4.0,1.0,36.55755945621523,0.0026375331327908604,0.7820000000000006,0.3962500000000003,0.00010332913510514022,0.00018652952626122763,0.0015190826969365494
