t_s,stiff_contact_force_n,impedance_contact_force_n,stiff_center_error_m,impedance_center_error_m
0.001,0.0,0.0,0.0039999458799576774,0.0039999458799576774
0.002,0.0,0.0,0.0039994980674736775,0.003999504815671667
0.003,0.0,0.0,0.003998879163429104,0.003998946500497585
0.004,0.0,0.0,0.003998353877231164,0.003998540705087061
0.005,0.0,0.0,0.003997749612312047,0.003998083375125834
0.006,0.0,0.0,0.0039973152140968995,0.003997820340043242
0.007,0.0,0.0,0.003996819785198962,0.003997485989165772
0.008,0.0,0.0,0.0039961418197566045,0.0039969615314693
0.009000000000000001,0.0,0.0,0.00399528831033634,0.003996270529618995
0.010000000000000002,0.0,0.0,0.003994421317901499,0.003995584890934361
0.011000000000000003,0.0,0.0,0.00399426159508491,0.003995610646520411
0.012000000000000004,0.0,0.0,0.003994507929035299,0.003995944376103099
0.013000000000000005,0.0,0.0,0.003994975268270363,0.003996365091932813
0.014000000000000005,0.0,0.0,0.003995710178788492,0.00399691899072401
0.015000000000000006,0.0,0.0,0.003996613377769148,0.003997504086497481
0.016000000000000007,0.0,0.0,0.003997551332168638,0.003998001163808172
0.017000000000000008,0.0,0.0,0.003998479327469201,0.0039983966431982295
0.01800000000000001,0.0,0.0,0.003999124999034357,0.0039984498678941865
0.01900000000000001,0.0,0.0,0.00400009830579299,0.003998830782625219
0.02000000000000001,0.0,0.0,0.004001219591919731,0.003999328788780128
0.02100000000000001,0.0,0.0,0.004002252554461083,0.0039997096697158875
0.022000000000000013,0.0,0.0,0.004002963173667126,0.003999772672510754
0.023000000000000013,0.0,0.0,0.00400353587531675,0.00399975771583346
0.024000000000000014,0.0,0.0,0.00400390047815449,0.003999612355856255
0.025000000000000015,0.0,0.0,0.004003916805529872,0.003999217506643579
0.026000000000000016,0.0,0.0,0.00400410274169514,0.003999122848855334
0.027000000000000017,0.0,0.0,0.004004263585634742,0.003999089912509389
0.028000000000000018,0.0,0.0,0.004004636350500159,0.003999346524066452
0.02900000000000002,0.0,0.0,0.004004998775225244,0.003999632961913428
0.03000000000000002,0.0,0.0,0.004005203987443289,0.00399980224532834
0.03100000000000002,0.0,0.0,0.004005458148026797,0.004000078606074166
0.03200000000000002,0.0,0.0,0.004005408819750331,0.004000096376862016
0.03300000000000002,0.0,0.0,0.004005244938815053,0.0040000783768463465
0.03400000000000002,0.0,0.0,0.004005169943710772,0.004000227817961258
0.035000000000000024,0.0,0.0,0.00400489216971113,0.0040002255321355245
0.036000000000000025,0.0,0.0,0.004004756325547274,0.004000431588784521
0.037000000000000026,0.0,0.0,0.004004919204943607,0.004000968801623399
0.03800000000000003,0.0,0.0,0.00400505782983014,0.004001469371303926
0.03900000000000003,0.0,0.0,0.004005118033964547,0.0040018867460218325
0.04000000000000003,0.0,0.0,0.004005345645893722,0.004002479668035021
0.04100000000000003,0.0,0.0,0.004006015785204694,0.00400350176809532
0.04200000000000003,0.0,0.0,0.00400631133354458,0.00400408538806649
0.04300000000000003,0.0,0.0,0.0040061601338248175,0.004004227521407853
0.04400000000000003,0.0,0.0,0.004005869435047404,0.004004294842046335
0.04500000000000003,0.0,0.0,0.00400537508234703,0.004004226677619449
0.046000000000000034,0.0,0.0,0.004004693274966701,0.00400404848915651
0.047000000000000035,0.0,0.0,0.004004131960830829,0.004004070417747461
0.048000000000000036,0.0,0.0,0.004003825936843188,0.004004387001396479
0.04900000000000004,0.0,0.0,0.004003636702281697,0.0040048126307672335
0.05000000000000004,0.0,0.0,0.004003440553767029,0.004005205376752588
0.05100000000000004,0.0,0.0,0.004003453175021262,0.004005783457750071
0.05200000000000004,0.0,0.0,0.004003290086262474,0.004006137525193014
0.05300000000000004,0.0,0.0,0.004002822579780687,0.004006169121131765
0.05400000000000004,0.0,0.0,0.004002192771088148,0.004006058572665356
0.05500000000000004,0.0,0.0,0.004001390548718787,0.004005805406885979
0.05600000000000004,0.0,0.0,0.0040004320480826324,0.004005432147894588
0.057000000000000044,0.0,0.0,0.003999400815656063,0.004005023410130566
0.058000000000000045,0.0,0.0,0.003998441277492942,0.004004711336475794
0.059000000000000045,0.0,0.0,0.003997080927930198,0.004003994183867817
0.060000000000000046,0.0,0.0,0.003995483226346191,0.00400307132656909
0.06100000000000005,0.0,0.0,0.003994085936952947,0.0040023837435458655
0.06200000000000005,0.0,0.0,0.0039932713514440115,0.0040022584898597
0.06300000000000004,0.0,0.0,0.003992420622782226,0.004001985703833582
0.06400000000000004,0.0,0.0,0.003991819750715025,0.004001862791660368
0.06500000000000004,0.0,0.0,0.003991965923142686,0.004002359823891629
0.06600000000000004,0.0,0.0,0.003991741601779967,0.004002279394635046
0.06700000000000005,0.0,0.0,0.003991922670183985,0.004002481900663489
0.06800000000000005,0.0,0.0,0.003992786313144211,0.004003212199920905
0.06900000000000005,0.0,0.0,0.003993600493141216,0.004003682794872689
0.07000000000000005,0.0,0.0,0.003995004127167396,0.004004589061947691
0.07100000000000005,0.0,0.0,0.003996633535878472,0.00400553310536182
0.07200000000000005,0.0,0.0,0.0039981654697156125,0.004006217941564903
0.07300000000000005,0.0,0.0,0.003999615748122101,0.004006724937713134
0.07400000000000005,0.0,0.0,0.004001076570398772,0.004007196999790234
0.07500000000000005,0.0,0.0,0.0040024255034632125,0.004007540688378544
0.07600000000000005,0.0,0.0,0.004003774371520988,0.004007906890379555
0.07700000000000005,0.0,0.0,0.004004901361331094,0.004008090699871491
0.07800000000000006,0.0,0.0,0.004006053568265077,0.004008381181339318
0.07900000000000006,0.0,0.0,0.00400711660941839,0.004008664147759396
0.08000000000000006,0.0,0.0,0.0040082913592045,0.0040091549252306725
0.08100000000000006,0.0,0.0,0.004009342355988623,0.0040096037152620775
0.08200000000000006,0.0,0.0,0.004009618454530239,0.004009378763638809
0.08300000000000006,0.0,0.0,0.004009335138240383,0.004008790389568199
0.08400000000000006,0.0,0.0,0.004009032885948565,0.004008418941334213
0.08500000000000006,0.0,0.0,0.0040087624590006725,0.004008271855763042
0.08600000000000006,0.0,0.0,0.004008402494142903,0.004008185363976784
0.08700000000000006,0.0,0.0,0.004008048119458411,0.004008235558053518
0.08800000000000006,0.0,0.0,0.004007969775218774,0.004008663448172872
0.08900000000000007,0.0,0.0,0.00400798309177539,0.004009226989105754
0.09000000000000007,0.0,0.0,0.004007725998798021,0.0040095438928806435
0.09100000000000007,0.0,0.0,0.00400718294180834,0.004009628109844707
0.09200000000000007,0.0,0.0,0.004007271721491685,0.004010419727909713
0.09300000000000007,0.0,0.0,0.004007422720718746,0.004011248478407341
0.09400000000000007,0.0,0.0,0.004007450247673,0.004011926354517602
0.09500000000000007,0.0,0.0,0.004007232346811593,0.00401235365181002
0.09600000000000007,0.0,0.0,0.004006968040273699,0.00401276106562224
0.09700000000000007,0.0,0.0,0.004006360884398091,0.0040128500680179655
0.09800000000000007,0.0,0.0,0.004005855329298453,0.0040130990593549125
0.09900000000000007,0.0,0.0,0.00400526458042582,0.00401328894927226
0.10000000000000007,0.0,0.0,0.004004479495749473,0.004013308085154043
0.10100000000000008,0.0,0.0,0.004003558046207872,0.00401322618437235
0.10200000000000008,0.0,0.0,0.004002452978302949,0.004012994710237016
0.10300000000000008,0.0,0.0,0.004001636950293629,0.004013088438044668
0.10400000000000008,0.0,0.0,0.004001060075833973,0.004013398331933437
0.10500000000000008,0.0,0.0,0.004000481278108644,0.004013645846792906
0.10600000000000008,0.0,0.0,0.004000101794817109,0.004014034381588994
0.10700000000000008,0.0,0.0,0.003999191614706226,0.004013809437795023
0.10800000000000008,0.0,0.0,0.003998332845191448,0.004013628789387231
0.10900000000000008,0.0,0.0,0.003997641344962969,0.004013588963957638
0.11000000000000008,0.0,0.0,0.003997050981649197,0.004013593915188315
0.11100000000000008,0.0,0.0,0.00399675254445935,0.0040138199947275365
0.11200000000000009,0.0,0.0,0.003996152185803706,0.004013640849144919
0.11300000000000009,0.0,0.0,0.003995490046553472,0.0040133464405394306
0.11400000000000009,0.0,0.0,0.003995137858124677,0.004013317805339473
0.11500000000000009,0.0,0.0,0.003994684867321096,0.004013103175263114
0.11600000000000009,0.0,0.0,0.003994441988563661,0.004013034529562382
0.11700000000000009,0.0,0.0,0.003994050693886471,0.004012731469427635
0.11800000000000009,0.0,0.0,0.0039933022242520716,0.004012015375609159
0.11900000000000009,0.0,0.0,0.003992909209129741,0.004011646991013417
0.12000000000000009,0.0,0.0,0.0039923423851590395,0.004011042799523086
0.1210000000000001,0.0,0.0,0.003991898163188391,0.004010525487842979
0.1220000000000001,0.0,0.0,0.003991579056288368,0.004010080258014513
0.1230000000000001,0.0,0.0,0.003991726814644398,0.004010035848436127
0.1240000000000001,0.0,0.0,0.003991827663522802,0.004009826789620723
0.12500000000000008,0.0,0.0,0.003991744204625169,0.004009344713930666
0.12600000000000008,0.0,0.0,0.003991474227354131,0.004008627583023491
0.12700000000000009,0.0,0.0,0.003991131080347048,0.004007819287567108
0.12800000000000009,0.0,0.0,0.0039912412524032055,0.004007454556019243
0.1290000000000001,0.0,0.0,0.003991330567433407,0.0040069992205132715
0.1300000000000001,0.0,0.0,0.003991691928798664,0.004006762774314352
0.1310000000000001,0.0,0.0,0.0039921902768736885,0.004006586976818874
0.1320000000000001,0.0,0.0,0.003992769952640825,0.004006418092349228
0.1330000000000001,0.0,0.0,0.003993444135128483,0.004006279928186872
0.1340000000000001,0.0,0.0,0.003994550850697465,0.004006518985901491
0.1350000000000001,0.0,0.0,0.003995310410974024,0.004006321645385305
0.1360000000000001,0.0,0.0,0.003996087700070499,0.004006128777563843
0.1370000000000001,0.0,0.0,0.003997285409400935,0.004006355133542747
0.1380000000000001,0.0,0.0,0.003998816002580789,0.004006873161874709
0.1390000000000001,0.0,0.0,0.0039999178650870415,0.004006905412444549
0.1400000000000001,0.0,0.0,0.004000703037965309,0.0040066510030946105
0.1410000000000001,0.0,0.0,0.004001413311416901,0.004006403140114739
0.1420000000000001,0.0,0.0,0.004002153505458792,0.004006273816349059
0.1430000000000001,0.0,0.0,0.0040031273736836565,0.004006458739054979
0.1440000000000001,0.0,0.0,0.004003881962656845,0.004006472886385528
0.1450000000000001,0.0,0.0,0.004004872779453005,0.004006805767777892
0.1460000000000001,0.0,0.0,0.004005530926273156,0.004006856574654196
0.1470000000000001,0.0,0.0,0.004006027622825186,0.004006844850241885
0.1480000000000001,0.0,0.0,0.004006114857701059,0.004006535088861832
0.1490000000000001,0.0,0.0,0.004006224602903727,0.004006398460757916
0.1500000000000001,0.0,0.0,0.004006112487397943,0.0040061628725759696
0.1510000000000001,0.0,0.0,0.004006134197878346,0.004006191980490942
0.1520000000000001,0.0,0.0,0.004006080155159227,0.004006235017005393
0.1530000000000001,0.0,0.0,0.004005698307881081,0.004006033722095484
0.1540000000000001,0.0,0.0,0.00400524902344534,0.004005874037026988
0.1550000000000001,0.0,0.0,0.004004949221175717,0.004005956530283274
0.1560000000000001,0.0,0.0,0.004004632752820793,0.0040060732593621366
