t_s,mode,success,in_contact,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,x_ref_m,y_ref_m,z_ref_m,lateral_error_m,control_fx_n,control_fy_n,control_fz_n,contact_fx_n,contact_fy_n,contact_fz_n,contact_force_n,total_force_n,penetration_m
0.001,stiff,0,0,0.0032000863960480164,-0.0023997945954641244,0.02000006608741524,8.639604801619652e-05,0.0002054045358752896,6.608741523667743e-05,0.0032,-0.0024,0.02,2.228346931494383e-07,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.09506174145532927,0.0
0.002,stiff,0,0,0.003199842639787707,-0.0023993732248906424,0.01999805563405241,-0.00024375626030971272,0.00042137057348186574,-0.0020104533628314395,0.0032,-0.0024,0.01994,6.462269524888587e-07,-0.0017452001699276068,-0.0041491716246813345,-1.0829078462704596,0.0,0.0,0.0,0.0,1.0501943157909972,0.0
0.003,stiff,0,0,0.0031994756157709583,-0.0023988310377753785,0.019991972635917794,-0.00036702401674839713,0.0005421871152640484,-0.0060829981346136285,0.0032,-0.0024,0.019880000000000002,1.28119143856781e-06,0.004388220960554738,-0.009785193706762244,-2.072729625509702,0.0,0.0,0.0,0.0,2.037442485517054,0.0
0.004,stiff,0,0,0.0031992030986745103,-0.0023983188405633012,0.01998012428139046,-0.00027251709644817346,0.0005121972120771251,-0.011848354527331798,0.0032,-0.0024,0.01982,1.8604700411907098e-06,0.008389518454536862,-0.014838185406348972,-2.937349495020329,0.0,0.0,0.0,0.0,2.8829510117462127,0.0
0.005,stiff,0,0,0.0031987683581252324,-0.002397891355711914,0.01996087114330596,-0.0004347405492778108,0.0004274848513873349,-0.01925313808450316,0.0032,-0.0024,0.01976,2.4419914908447505e-06,0.008756027568311776,-0.017593949476610807,-3.6541798473176827,0.0,0.0,0.0,0.0,3.7031154050840893,0.0
0.006,stiff,0,0,0.003198517635497397,-0.00239750158628992,0.019933169315892642,-0.00025072262783553084,0.0003897694219938632,-0.02770182741331658,0.0032,-0.0024,0.0197,2.9050775523714072e-06,0.013722547313449228,-0.019058382505554573,-4.1950989893102015,0.0,0.0,0.0,0.0,4.22501283448295,0.0
0.007,stiff,0,0,0.003198103187695737,-0.002397228482270357,0.019896355516568785,-0.00041444780166014904,0.0002731040195631245,-0.036813799323855534,0.0032,-0.0024,0.01964,3.3584531325194594e-06,0.01270077670583694,-0.020946936910408425,-4.556800173321312,0.0,0.0,0.0,0.0,4.556695590490948,0.0
0.008,stiff,0,0,0.003197663745431526,-0.0023966843794626883,0.019850268581076354,-0.0004394422642108056,0.0005441028076685012,-0.04608693549243015,0.0032,-0.0024,0.01958,4.056035620671814e-06,0.017562505509674416,-0.02100686619767002,-4.737240515817888,0.0,0.0,0.0,0.0,4.637845837330271,0.0
0.009000000000000001,stiff,0,0,0.0031965981049726323,-0.0023966829656831084,0.019794653542892372,-0.001065640458893568,1.4137795798576129e-06,-0.055615038183983605,0.0032,-0.0024,0.01952,4.7513794246161265e-06,0.020636970023491887,-0.028174286638690118,-4.746574136571212,0.0,0.0,0.0,0.0,4.77556770602555,0.0
0.010000000000000002,stiff,0,0,0.0031955169436998303,-0.002396679604668351,0.019729926423536034,-0.0010811612728021797,3.3610147573983695e-06,-0.06472711935633729,0.0032,-0.0024,0.01946,5.578782927209754e-06,0.03601071559419066,-0.020585405678844808,-4.5777727792790985,0.0,0.0,0.0,0.0,4.556044882666643,0.0
