t_s,mode,success,in_contact,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,x_ref_m,y_ref_m,z_ref_m,lateral_error_m,control_fx_n,control_fy_n,control_fz_n,contact_fx_n,contact_fy_n,contact_fz_n,contact_force_n,total_force_n,penetration_m
0.001,impedance,0,0,0.0032005102297803464,-0.0024006389162578284,0.020000083619769345,0.0005102297803462957,-0.0006389162578285455,8.361976934515578e-05,0.0032,-0.0024,0.02,8.176480986768323e-07,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.32972081004921744,0.0
0.002,impedance,0,0,0.0032007891121458997,-0.0024012790407374066,0.019999719516194905,0.00027888236555313354,-0.0006401244795781501,-0.0003641035744394487,0.0032,-0.0024,0.01994,1.5028783007124234e-06,-0.03576200530447186,0.04478164051120276,-0.20230195558332564,0.0,0.0,0.0,0.0,0.24223488997958342,0.0
0.003,impedance,0,0,0.0032005140160149613,-0.0024018648387433036,0.01999850354995943,-0.0002750961309383049,-0.0005857980058971046,-0.0012159662354763521,0.0032,-0.0024,0.019880000000000002,1.9343825893973376e-06,-0.019592785681850303,0.044923827236837126,-0.33941002289095756,0.0,0.0,0.0,0.0,0.4806167545644073,0.0
0.004,impedance,0,0,0.003201117695932495,-0.0024022912558561444,0.01999636646674186,0.0006036799175337527,-0.0004264171128408875,-0.0021370832175706903,0.0032,-0.0024,0.01982,2.5493327746358837e-06,0.019210467724334844,0.04117369589969467,-0.42529541161300954,0.0,0.0,0.0,0.0,0.5828705359391356,0.0
0.005,impedance,0,0,0.0032015451585283377,-0.0024028095460281976,0.019993018507999116,0.000427462595842697,-0.0005182901720533372,-0.0033479587427426446,0.0032,-0.0024,0.01976,3.206409793251047e-06,-0.042358186861287235,0.030055410925915144,-0.499922707465465,0.0,0.0,0.0,0.0,0.6106339303713787,0.0
0.006,impedance,0,0,0.0032017997672649304,-0.0024031160169251586,0.019988551030182124,0.0002546087365926854,-0.0003064708969609622,-0.004467477816993436,0.0032,-0.0024,0.0197,3.5984335044280855e-06,-0.030061445976539168,0.036533171186271404,-0.5359041764680588,0.0,0.0,0.0,0.0,0.5703420704420831,0.0
0.007,impedance,0,0,0.0032022488542007245,-0.00240341810484361,0.01998292987236106,0.0004490869357942972,-0.00030208791845127807,-0.005621157821065267,0.0032,-0.0024,0.01964,4.091550554255287e-06,-0.0179845906153317,0.021733404310531647,-0.579265958543582,0.0,0.0,0.0,0.0,0.5820643820259456,0.0
0.008,impedance,0,0,0.003203005300143363,-0.0024035302819220704,0.019975977995486817,0.0007564459426383353,-0.00011217707846058098,-0.006951876874243179,0.0032,-0.0024,0.01958,4.636239791144864e-06,-0.031638482383666,0.02145378372751438,-0.6148366530275542,0.0,0.0,0.0,0.0,0.6808737103311743,0.0
0.009000000000000001,impedance,0,0,0.003203582982109858,-0.002403486902415429,0.019968163327498095,0.0005776819664949363,4.337950664118711e-05,-0.007814667988720679,0.0032,-0.0024,0.01952,4.999624911359521e-06,-0.053221692997586126,0.008170120865227023,-0.6249043606486353,0.0,0.0,0.0,0.0,0.4416863507727526,0.0
0.010000000000000002,impedance,0,0,0.003203991358479406,-0.0024035112194391766,0.019959172397250934,0.0004083763695481261,-2.4317023747325183e-05,-0.008990930247160377,0.0032,-0.0024,0.01946,5.315976341292221e-06,-0.04076020604453273,-0.0027227442474944607,-0.6883624893474181,0.0,0.0,0.0,0.0,0.592636294888256,0.0
