t_s,mode,success,in_contact,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,x_ref_m,y_ref_m,z_ref_m,lateral_error_m,control_fx_n,control_fy_n,control_fz_n,contact_fx_n,contact_fy_n,contact_fz_n,contact_force_n,total_force_n,penetration_m
0.001,impedance,0,0,0.0059865000000000005,-0.003991,0.004,-0.0135,0.009000000000000001,0.0,0.0,0.0,0.004,0.007194877570188391,-5.4,3.6,-0.0,0.0,0.0,0.0,0.0,6.489992295835181,0.0
0.002,impedance,0,0,0.005961724125000001,-0.00397448275,0.0039998740000000005,-0.024775875000000003,0.01651725,-0.0001259999999999985,0.0,0.0,0.0039700000000000004,0.0071651006742860625,-4.510350000000001,3.0069,-0.06299999999999925,0.0,0.0,0.0,0.0,5.421132144902945,0.0
0.003,impedance,0,0,0.005927560450406251,-0.0039517069669375,0.0039995192092,-0.03416367459375,0.0227757830625,-0.00035479080000000115,0.0,0.0,0.00394,0.007124041047450718,-3.7551198375,2.503413225,-0.1143954000000013,0.0,0.0,0.0,0.0,4.5145419564593805,0.0
0.004,impedance,0,0,0.0058856113619205706,-0.003923740907947047,0.00399885230006536,-0.041949088485679686,0.027966058990453124,-0.0006669091346400006,0.0,0.0,0.00391,0.007073624517619353,-3.1141655567718756,2.07611037118125,-0.1560591673199997,0.0,0.0,0.0,0.0,3.746013327794663,0.0
0.005,impedance,0,0,0.005837236374749493,-0.0038914909164996614,0.003997806254914681,-0.04837498717107802,0.03224999144738534,-0.0010460451506793132,0.0,0.0,0.00388,0.0070154850187209425,-2.570359474159334,1.713572982772889,-0.18956800801965631,0.0,0.0,0.0,0.0,3.0949985821247745,0.0
0.006,impedance,0,0,0.005783588541150528,-0.003855725694100352,0.003996327711620482,-0.053647833598964204,0.03576522239930946,-0.0014785432941986964,0.0,0.0,0.00385,0.0069510083471013995,-2.109138571154472,1.406092380769648,-0.21624907175969155,0.0,0.0,0.0,0.0,2.5440764447293858,0.0
0.007,impedance,0,0,0.005725645406293807,-0.0038170969375292043,0.003994374729730433,-0.05794313485672121,0.03862875657114746,-0.001952981890048956,0.0,0.0,0.00382,0.006881369365839055,-1.7181205031028024,1.145413668735202,-0.23721929792512986,0.0,0.0,0.0,0.0,2.0785051193143,0.0
0.008,impedance,0,0,0.005664235328687142,-0.0037761568857914278,0.003991914910715725,-0.06141007760666508,0.04094005173777671,-0.0024598190147079643,0.0,0.0,0.00379,0.006807563637958704,-1.386777099977548,0.9245180666516988,-0.25341856232950416,0.0,0.0,0.0,0.0,1.6858544861050986,0.0
0.009000000000000001,impedance,0,0,0.0056000598592020135,-0.003733373239468009,0.003988923816498659,-0.06417546948512808,0.04278364632341871,-0.0029910942170665766,0.0,0.0,0.00376,0.006730434322673502,-1.106156751385197,0.7374378342567987,-0.2656376011793061,0.0,0.0,0.0,0.0,1.35571407501313,0.0
0.010000000000000002,impedance,0,0,0.005533712768825015,-0.003689141845883343,0.00398538363921137,-0.06634709037699929,0.04423139358466619,-0.0035401772872889585,0.0,0.0,0.0037300000000000002,0.006650695043896131,-0.868648356748488,0.5790989044989918,-0.2745415351111909,0.0,0.0,0.0,0.0,1.07948069152486,0.0
0.011000000000000003,impedance,0,0,0.005465696226904421,-0.0036437974846029474,0.003981282082551105,-0.06801654192059318,0.04534436128039546,-0.004101556660264699,0.0,0.0,0.0037,0.006568949334071317,-0.6677806174375593,0.44518707829170623,-0.28068968648787024,0.0,0.0,0.0,0.0,0.8502406646378734,0.0
0.012000000000000004,impedance,0,0,0.005396434556535389,-0.0035976230376902596,0.003976611421342973,-0.06926167036903175,0.04617444691268783,-0.004670661208131694,0.0,0.0,0.00367,0.006485707166091374,-0.4980513793754229,0.332034252916948,-0.2845522739334972,0.0,0.0,0.0,0.0,0.6627759185490985,0.0
0.013000000000000005,impedance,0,0,0.0053262859298491205,-0.0035508572865660805,0.003971367711182665,-0.07014862668626871,0.04676575112417914,-0.005243710160308476,0.0,0.0,0.00364,0.006401399009284465,-0.3547825268947875,0.23652168459652456,-0.28652447608839127,0.0,0.0,0.0,0.0,0.513721154004734,0.0
0.014000000000000005,impedance,0,0,0.00525555231165721,-0.003503701541104807,0.0039655501244642444,-0.07073361819191057,0.04715574546127371,-0.005817586718420143,0.0,0.0,0.00361,0.00631638778018779,-0.23399660225674168,0.15599773483782853,-0.2869382790558334,0.0,0.0,0.0,0.0,0.4017751599212631,0.0
0.015000000000000006,impedance,0,0,0.0051844879137202555,-0.0034563252758135045,0.0039591603928323905,-0.07106439793695382,0.04737626529130255,-0.006389731631854345,0.0,0.0,0.00358,0.006230979003313902,-0.13231189801730192,0.08820793201153476,-0.2860724567171007,0.0,0.0,0.0,0.0,0.3272988361098308,0.0
0.016000000000000007,impedance,0,0,0.005113306382642186,-0.0034088709217614584,0.003952202339244374,-0.0711815310780694,0.047454354052046274,-0.006958053588016604,0.0,0.0,0.0035499999999999998,0.006145429449924565,-0.04685325644623184,0.031235504297488337,-0.2841609780811295,0.0,0.0,0.0,0.0,0.28968663385175186,0.0
0.017000000000000008,impedance,0,0,0.0050421869110033575,-0.0033614579406689065,0.003944681485477374,-0.07111947163882805,0.047412981092552035,-0.007520853766999987,0.0,0.0,0.0035199999999999997,0.006059954482698663,0.024823775696543926,-0.01654918379769521,-0.2814000894916918,0.0,0.0,0.0,0.0,0.28297721761677985,0.0
0.01800000000000001,impedance,0,0,0.004971279432956082,-0.003314186288637389,0.003936604723149429,-0.07090747804727604,0.04727165203151737,-0.008076762327944959,0.0,0.0,0.00349,0.0059747343000609,0.08479743662080175,-0.0565316244138665,-0.27795428047248605,0.0,0.0,0.0,0.0,0.29604900244605925,0.0
0.01900000000000001,impedance,0,0,0.004900709041367337,-0.003267139360911559,0.003927980038203286,-0.07057039158874487,0.04704692772582992,-0.008624684946142469,0.0,0.0,0.00346,0.005889919244926636,0.13483458341246912,-0.08988972227497927,-0.2739613090987547,0.0,0.0,0.0,0.0,0.3183006847900117,0.0
0.02000000000000001,impedance,0,0,0.004830579743068687,-0.0032203864953791253,0.003918816280386995,-0.07012929829865033,0.04675286553243357,-0.009163757816290627,0.0,0.0,0.00343,0.005805634317950606,0.17643731603781276,-0.11762487735854155,-0.2695364350740791,0.0,0.0,0.0,0.0,0.3429513494603604,0.0
0.02100000000000001,impedance,0,0,0.004760977651321663,-0.0031739851008811093,0.003909122970600011,-0.0696020917470242,0.04640139449801615,-0.009693309786983694,0.0,0.0,0.0034,0.00572198301439279,0.2108826206504535,-0.14058841376696884,-0.2647759853465338,0.0,0.0,0.0,0.0,0.3665281765350972,0.0
0.022000000000000013,impedance,0,0,0.004691973699768056,-0.0031279824665120383,0.003898910140098164,-0.0690039515536065,0.04600263436907102,-0.010212830501846676,0.0,0.0,0.0033699999999999997,0.005639050585880737,0.23925607736707555,-0.15950405157805125,-0.2597603574314913,0.0,0.0,0.0,0.0,0.38750542747144817,0.0
