t_s,mode,success,in_contact,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,x_ref_m,y_ref_m,z_ref_m,lateral_error_m,control_fx_n,control_fy_n,control_fz_n,contact_fx_n,contact_fy_n,contact_fz_n,contact_force_n,total_force_n,penetration_m
0.001,impedance,0,0,0.0032000472633454484,-0.00240013068711037,0.019999917387291323,4.726334544838327e-05,-0.00013068711037018686,-8.261270867837869e-05,0.0032,-0.0024,0.02,1.389710208634339e-07,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.06925522399917484,0.0
0.002,impedance,0,0,0.003199475878125531,-0.002399788547726145,0.01999969996352847,-0.0005713852199177735,0.0003421393842246547,-0.00021742376285259322,0.0032,-0.0024,0.01994,5.651688273564753e-07,-0.0033126878824771755,0.00915985956584638,-0.18182211429083014,0.0,0.0,0.0,0.0,0.3186691947916565,0.0
0.003,impedance,0,0,0.0031989232475373034,-0.0023993128786642397,0.019998824883836083,-0.0005526305882273637,0.00047566906190563824,-0.0008750796923906472,0.0032,-0.0024,0.019880000000000002,1.2773142119229413e-06,0.04004413636294638,-0.023968787600372743,-0.3569490317487919,0.0,0.0,0.0,0.0,0.33322205236023816,0.0
0.004,impedance,0,0,0.0031983291138622137,-0.0023986762144276867,0.019996953232703982,-0.0005941336750894813,0.0006366642365531144,-0.0018716511320996457,0.0032,-0.0024,0.01982,2.1317290463169046e-06,0.038781048897558165,-0.033358675253613086,-0.46723006518858395,0.0,0.0,0.0,0.0,0.5027040590720682,0.0
0.005,impedance,0,0,0.003197757123553631,-0.0023983493009731237,0.01999410526876853,-0.0005719903085823108,0.0003269134545628244,-0.0028479639354530486,0.0032,-0.0024,0.01976,2.78483429148062e-06,0.04173973700866447,-0.04468563726022619,-0.5336522088007869,0.0,0.0,0.0,0.0,0.5037126289837924,0.0
0.006,impedance,0,0,0.003197260936683322,-0.0023979436466018992,0.019989937105317494,-0.0004961868703093204,0.00040565437122445344,-0.0041681634510370436,0.0032,-0.0024,0.0197,3.425063087105354e-06,0.04024118048093497,-0.023032504731816554,-0.5993811878049338,0.0,0.0,0.0,0.0,0.6615459902008092,0.0
0.007,impedance,0,0,0.003196883905766341,-0.0023978325129360113,0.019984697996615147,-0.0003770309169809693,0.00011113366588815383,-0.005239108702346076,0.0032,-0.0024,0.01964,3.795792861261156e-06,0.03497959662015346,-0.028580877791540792,-0.6196191228915304,0.0,0.0,0.0,0.0,0.5503466423618866,0.0
0.008,impedance,0,0,0.0031966205651527795,-0.002397658672594209,0.019978208307605622,-0.00026334061356155484,0.00017384034180216104,-0.006489689009525907,0.0032,-0.0024,0.01958,4.1112521094815346e-06,0.02667261266969717,-0.007974430447929733,-0.6663405448869414,0.0,0.0,0.0,0.0,0.6274432198564464,0.0
0.009000000000000001,impedance,0,0,0.0031961513801443933,-0.0023973199858618524,0.019970754951353375,-0.00046918500838599166,0.00033868673235649927,-0.0074533562522472036,0.0032,-0.0024,0.01952,4.689813490283051e-06,0.0187379920855587,-0.01237954339267244,-0.6875039031948852,0.0,0.0,0.0,0.0,0.49324541381651565,0.0
0.010000000000000002,impedance,0,0,0.0031953555578261334,-0.002397473525177628,0.019961520602630234,-0.0007958223182598129,-0.0001535393157755916,-0.009234348723142327,0.0032,-0.0024,0.01946,5.2871465020812695e-06,0.033189326374024025,-0.02394927253738821,-0.7400130940611299,0.0,0.0,0.0,0.0,0.9213143283874915,0.0
0.011000000000000003,impedance,0,0,0.003194910414136422,-0.0023975685846556096,0.01995112443423196,-0.00044514368971172556,-9.505947798137957e-05,-0.010396168398273802,0.0032,-0.0024,0.0194,5.640537637466191e-06,0.056125562073834914,0.010520369370277968,-0.6887440816396673,0.0,0.0,0.0,0.0,0.5980631255080522,0.0
0.012000000000000004,impedance,0,0,0.003194724923467306,-0.0023975949128403028,0.01993936895749924,-0.0001854906691159937,-2.6328184693305784e-05,-0.011755476732722562,0.0032,-0.0024,0.01934,5.797488824613632e-06,0.03161812100754284,0.006435336077701454,-0.7080579817494175,0.0,0.0,0.0,0.0,0.6880935809252345,0.0
0.013000000000000005,impedance,0,0,0.0031945306404330743,-0.0023974000596844827,0.01992598889066202,-0.00019428303423162248,0.00019485315581996849,-0.013380066837220435,0.0032,-0.0024,0.01928,6.055871837859067e-06,0.013459103726062032,0.001626515084158673,-0.6993234560708608,0.0,0.0,0.0,0.0,0.8171064866222726,0.0
0.014000000000000005,impedance,0,0,0.003194266122829191,-0.0023971791561042274,0.019911661995137185,-0.0002645176038831093,0.00022090358025516645,-0.014326895524834576,0.0032,-0.0024,0.01922,6.3901883927034275e-06,0.0140920547572369,-0.013873715535794334,-0.6535564296520038,0.0,0.0,0.0,0.0,0.47436165952178355,0.0
0.015000000000000006,impedance,0,0,0.003193858069899421,-0.0023972673104551774,0.019895850260329733,-0.00040805292977023303,-8.815435095027211e-05,-0.01581173480745307,0.0032,-0.0024,0.01916,6.722417534546916e-06,0.01903228121719046,-0.01571712656848117,-0.6860909214588433,0.0,0.0,0.0,0.0,0.7548284539819047,0.0
0.016000000000000007,impedance,0,0,0.0031937651262169174,-0.002397399404026582,0.019879004769613805,-9.294368250327114e-05,-0.00013209357140451597,-0.016845490715927242,0.0032,-0.0024,0.0191,6.755497798676986e-06,0.029116478792968453,0.005924862507485034,-0.6493126561607809,0.0,0.0,0.0,0.0,0.5323145108161892,0.0
0.017000000000000008,impedance,0,0,0.0031932217181460517,-0.0023972268355716094,0.01986103953939216,-0.0005434080708655112,0.0001725684549723748,-0.017965230221647144,0.0032,-0.0024,0.01904,7.3236292805176896e-06,0.007067196415706424,0.009012496360708507,-0.6633563768529038,0.0,0.0,0.0,0.0,0.600643054273704,0.0
0.01800000000000001,impedance,0,0,0.0031924202651785545,-0.0023970466950866197,0.019841990462898636,-0.0008014529674972796,0.0001801404849898108,-0.01904907649352274,0.0032,-0.0024,0.01898,8.134764278996072e-06,0.03864861032744114,-0.012329376646621369,-0.6634988994572533,0.0,0.0,0.0,0.0,0.5516736408015743,0.0
