mode,seed,stiffness_scale,damping_scale,noise_std_n,offset_m,success,insertion_time_s,peak_contact_force_n,settling_time_s,overshoot_m,oscillation_m,final_center_error_m
stiff,1,1.0,1.0,0.1,0.004,0,nan,56.95710954243531,nan,0.0011278657886730765,0.00017592467358539,0.00224475446594324
stiff,2,1.0,1.0,0.1,0.004,0,nan,56.977596673398956,nan,0.0011335756740187691,0.0001763066022433079,0.0022381044663905736
stiff,3,1.0,1.0,0.1,0.004,0,nan,56.96105340685249,nan,0.0011275842393980728,0.00017618610727067379,0.0022418896578438492
stiff,4,1.0,1.0,0.1,0.004,0,nan,56.957012578767994,nan,0.0011352942479981294,0.00017625211904297077,0.0022389882007967073
impedance,1,1.0,1.0,0.1,0.004,1,0.7820000000000006,36.5299425028396,0.3960000000000003,9.92161739119088e-05,0.0001872733204283624,0.0015199709801943199
impedance,2,1.0,1.0,0.1,0.004,1,0.7820000000000006,36.53095157494047,0.3960000000000003,0.00010453016228891368,0.00018632686073856208,0.0015171361258948526
impedance,3,1.0,1.0,0.1,0.004,1,0.7820000000000006,36.52985493608346,0.3970000000000003,8.87174879682759e-05,0.00018500349890981363,0.0015193519239489845
impedance,4,1.0,1.0,0.1,0.004,1,0.7820000000000006,36.533119945648835,0.3960000000000003,9.704744779250821e-05,0.0001877874257794556,0.0015194434421461618
